Age,Height,Weight,Sex
24.0,180.0,80.0,1
23.0,170.0,60.0,1
21.0,185.0,82.0,0
25.0,185.0,82.0,0
27.0,185.0,82.0,0
31.0,188.0,75.0,1
33.0,188.0,75.0,1
31.0,183.0,72.0,1
33.0,183.0,72.0,1
26.0,186.0,96.0,1
22.0,182.0,76.5,1
31.0,172.0,70.0,1
30.0,159.0,55.5,0
34.0,159.0,55.5,0
32.0,171.0,65.0,0
28.0,184.0,85.0,1
28.0,175.0,64.0,1
32.0,175.0,64.0,1
31.0,189.0,130.0,1
20.0,176.0,85.0,1
22.0,176.0,85.0,1
26.0,176.0,85.0,1
30.0,176.0,85.0,1
34.0,176.0,85.0,1
22.0,170.0,125.0,0
22.0,187.0,89.0,1
26.0,187.0,89.0,1
17.0,169.0,65.0,0
43.0,170.0,77.0,1
47.0,170.0,77.0,1
26.0,189.0,72.0,1
30.0,189.0,72.0,1
24.0,174.0,70.0,1
24.0,187.0,76.0,1
28.0,187.0,76.0,1
30.0,187.0,76.0,1
24.0,190.0,98.0,1
21.0,194.0,78.0,1
25.0,194.0,78.0,1
23.0,182.0,64.0,0
34.0,185.0,75.0,1
25.0,182.0,73.0,1
29.0,182.0,73.0,1
33.0,194.0,93.0,1
45.0,194.0,93.0,1
49.0,194.0,93.0,1
53.0,194.0,93.0,1
57.0,194.0,93.0,1
22.0,177.0,74.0,1
26.0,177.0,74.0,1
30.0,177.0,74.0,1
24.0,168.0,65.0,0
28.0,168.0,65.0,0
22.0,185.0,106.0,1
26.0,185.0,106.0,1
23.0,167.0,64.0,1
22.0,189.0,80.0,1
24.0,172.0,58.0,1
26.0,170.0,65.0,1
24.0,176.0,66.0,1
24.0,164.0,71.0,1
28.0,164.0,71.0,1
24.0,172.0,75.0,1
26.0,175.0,72.0,1
21.0,198.0,90.0,1
30.0,194.0,87.0,1
21.0,165.0,49.0,0
22.0,179.0,80.0,0
26.0,179.0,80.0,0
23.0,178.0,76.0,1
19.0,185.0,72.0,0
26.0,167.0,65.0,1
27.0,172.0,82.0,1
24.0,180.0,83.0,1
28.0,180.0,83.0,1
23.0,182.0,86.0,1
27.0,182.0,86.0,1
31.0,182.0,86.0,1
30.0,182.0,73.0,0
22.0,178.0,70.0,1
22.0,185.0,82.0,1
27.0,166.0,75.0,1
22.0,186.0,83.0,1
22.0,190.0,77.0,1
26.0,183.0,75.0,1
26.0,165.0,55.0,1
24.0,181.0,82.0,1
28.0,181.0,82.0,1
32.0,181.0,82.0,1
22.0,182.0,67.0,1
26.0,182.0,67.0,1
29.0,188.0,97.0,1
25.0,168.0,105.0,0
21.0,163.0,60.0,0
27.0,190.0,80.0,1
21.0,180.0,73.0,1
34.0,190.0,85.0,1
38.0,190.0,85.0,1
35.0,155.0,43.0,0
18.0,168.0,60.0,1
16.0,180.0,70.0,1
30.0,169.0,75.0,1
30.0,181.0,79.0,1
25.0,170.0,51.0,1
19.0,175.0,75.0,1
23.0,175.0,75.0,1
22.0,188.0,96.0,1
29.0,188.0,96.0,1
34.0,188.0,96.0,1
22.0,182.0,90.0,1
26.0,182.0,90.0,1
30.0,182.0,90.0,1
34.0,182.0,90.0,1
20.0,187.0,97.0,1
25.0,187.0,97.0,1
29.0,187.0,97.0,1
33.0,187.0,97.0,1
23.0,176.0,64.0,1
27.0,176.0,64.0,1
20.0,175.0,66.0,1
22.0,190.0,88.0,1
21.0,169.0,67.0,1
22.0,175.0,80.0,1
20.0,160.0,65.0,1
24.0,181.0,74.0,1
22.0,178.0,78.0,1
22.0,165.0,65.0,1
26.0,170.0,70.0,1
23.0,168.0,55.0,1
28.0,173.0,77.0,1
25.0,178.0,80.0,1
29.0,178.0,80.0,1
37.0,178.0,80.0,1
28.0,170.0,62.0,1
20.0,164.0,58.0,0
20.0,165.0,60.0,1
24.0,165.0,60.0,1
28.0,165.0,60.0,1
28.0,173.0,60.0,0
22.0,181.0,74.0,1
18.0,182.0,76.0,1
33.0,159.0,53.0,0
28.0,171.0,64.0,0
23.0,192.0,90.0,1
23.0,178.0,72.0,0
29.0,195.0,85.0,1
15.0,175.0,64.0,1
19.0,175.0,64.0,1
24.0,180.0,104.0,1
42.0,172.0,80.0,1
46.0,172.0,80.0,1
30.0,167.0,58.0,0
21.0,184.0,87.0,1
23.0,179.0,80.0,1
24.0,175.0,70.0,1
28.0,175.0,70.0,1
19.0,179.0,71.0,1
41.0,160.0,57.0,0
21.0,164.0,63.0,0
30.0,163.0,52.0,0
34.0,185.0,91.0,1
23.0,191.0,88.0,0
40.0,165.0,57.0,0
22.0,185.0,98.0,1
26.0,185.0,98.0,1
34.0,185.0,98.0,1
23.0,195.0,94.0,1
22.0,192.0,83.0,1
26.0,192.0,83.0,1
15.0,167.0,60.0,0
19.0,167.0,60.0,0
25.0,163.0,57.0,1
28.0,203.0,97.0,1
20.0,175.0,56.0,0
21.0,168.0,57.0,1
29.0,168.0,57.0,1
23.0,169.0,68.0,1
19.0,158.0,49.0,0
18.0,172.0,61.0,0
25.0,174.0,70.0,1
32.0,168.0,68.0,1
23.0,174.0,69.0,1
23.0,180.0,56.0,1
32.0,180.0,56.0,1
18.0,154.0,48.0,0
22.0,154.0,48.0,0
18.0,153.0,46.0,0
30.0,186.0,100.0,1
32.0,152.0,52.0,1
24.0,193.0,82.0,1
25.0,189.0,85.0,1
24.0,183.0,76.0,1
28.0,172.0,68.0,1
23.0,178.0,67.0,1
27.0,178.0,67.0,1
25.0,188.0,92.0,1
19.0,198.0,80.0,1
23.0,198.0,80.0,1
23.0,197.0,87.0,1
31.0,197.0,87.0,1
21.0,176.0,74.0,1
27.0,188.0,79.0,1
30.0,180.0,120.0,1
28.0,170.0,60.0,1
36.0,170.0,60.0,1
21.0,190.0,83.0,1
26.0,190.0,95.0,1
22.0,165.0,48.0,1
27.0,195.0,95.0,1
22.0,157.0,48.0,1
23.0,165.0,57.0,0
27.0,165.0,57.0,0
35.0,165.0,57.0,0
27.0,188.0,89.0,1
24.0,176.0,60.0,1
26.0,175.0,81.0,1
24.0,173.0,77.0,1
17.0,159.0,51.0,0
21.0,170.0,58.0,1
21.0,170.0,94.0,1
25.0,170.0,94.0,1
36.0,170.0,70.0,1
40.0,170.0,70.0,1
23.0,184.0,68.0,1
19.0,160.0,46.0,0
23.0,194.0,96.0,1
22.0,167.0,63.0,1
26.0,207.0,90.0,1
24.0,170.0,63.0,1
19.0,170.0,63.0,1
23.0,170.0,63.0,1
22.0,173.0,60.0,0
26.0,173.0,60.0,0
22.0,170.0,80.0,1
26.0,170.0,80.0,1
27.0,176.0,56.0,1
30.0,178.0,66.0,1
34.0,178.0,66.0,1
19.0,177.0,65.0,1
23.0,177.0,65.0,1
21.0,170.0,57.0,1
25.0,170.0,57.0,1
23.0,178.0,61.0,1
27.0,178.0,61.0,1
31.0,178.0,61.0,1
35.0,178.0,61.0,1
19.0,169.0,74.0,1
23.0,169.0,74.0,1
27.0,169.0,74.0,1
21.0,173.0,59.0,0
24.0,183.0,75.0,1
26.0,176.0,60.0,1
23.0,185.0,67.0,1
29.0,175.0,85.0,1
22.0,165.0,60.0,1
19.0,180.0,76.0,1
23.0,180.0,76.0,1
27.0,180.0,67.0,0
23.0,188.0,78.0,1
30.0,165.0,60.0,1
17.0,147.0,50.0,0
24.0,184.0,70.0,1
22.0,180.0,73.0,1
24.0,163.0,61.0,1
28.0,163.0,61.0,1
19.0,160.0,53.0,0
27.0,160.0,53.0,0
23.0,172.0,90.0,1
27.0,172.0,90.0,1
19.0,175.0,55.0,1
30.0,180.0,117.5,1
34.0,180.0,117.5,1
22.0,169.0,65.0,1
23.0,169.0,60.0,1
20.0,156.0,59.0,1
17.0,176.0,68.0,1
17.0,168.0,54.0,1
26.0,172.0,70.0,1
34.0,178.0,74.0,1
30.0,175.0,80.0,1
29.0,174.0,55.0,1
24.0,173.0,64.0,1
38.0,169.0,91.0,1
23.0,181.0,72.0,1
22.0,163.0,56.0,0
26.0,163.0,56.0,0
24.0,180.0,72.0,1
32.0,158.0,58.0,0
21.0,185.0,80.0,1
22.0,175.0,75.0,1
21.0,172.0,66.0,1
25.0,172.0,66.0,1
22.0,180.0,59.0,0
26.0,166.0,61.0,0
26.0,160.0,62.0,1
24.0,181.0,73.0,1
27.0,164.0,55.0,1
20.0,184.0,79.0,1
31.0,187.0,83.0,1
21.0,188.0,77.0,1
25.0,188.0,77.0,1
28.0,188.0,91.0,1
27.0,164.0,60.0,1
32.0,164.0,60.0,1
22.0,169.0,63.0,1
26.0,169.0,63.0,1
22.0,190.0,130.0,1
26.0,190.0,130.0,1
25.0,167.0,55.0,1
29.0,167.0,55.0,1
33.0,167.0,55.0,1
21.0,170.0,47.0,0
27.0,175.0,74.0,1
16.0,162.0,72.0,0
20.0,162.0,72.0,0
23.0,168.0,68.0,1
20.0,168.0,62.0,1
15.0,170.0,59.0,0
19.0,170.0,59.0,0
18.0,150.0,60.0,1
19.0,181.0,66.0,1
23.0,181.0,66.0,1
33.0,178.0,74.0,1
21.0,162.0,69.0,1
25.0,162.0,69.0,1
23.0,202.0,104.0,1
22.0,178.0,73.0,1
19.0,183.0,74.0,1
23.0,183.0,74.0,1
26.0,172.0,74.0,1
29.0,192.0,117.0,1
26.0,172.0,60.0,1
26.0,170.0,84.0,1
30.0,170.0,84.0,1
34.0,170.0,84.0,1
26.0,190.0,125.0,1
34.0,190.0,125.0,1
24.0,174.0,72.0,1
32.0,174.0,72.0,1
18.0,162.0,54.0,1
24.0,177.0,75.0,1
24.0,178.0,67.0,1
28.0,178.0,67.0,1
25.0,166.0,69.0,1
25.0,167.0,62.0,1
22.0,175.0,64.0,1
26.0,175.0,64.0,1
23.0,173.0,68.0,1
24.0,178.0,70.0,1
28.0,178.0,70.0,1
21.0,179.0,91.0,1
29.0,179.0,91.0,1
26.0,166.0,57.0,1
21.0,190.0,80.0,1
25.0,190.0,80.0,1
29.0,190.0,80.0,1
18.0,168.0,60.0,0
31.0,175.0,67.0,1
22.0,177.0,75.0,1
21.0,160.0,50.0,1
22.0,173.0,62.0,1
23.0,170.0,51.0,1
27.0,180.0,83.0,1
31.0,180.0,83.0,1
22.0,194.0,92.0,1
26.0,194.0,92.0,1
19.0,169.0,48.0,0
19.0,190.0,73.0,1
20.0,163.0,52.0,0
23.0,185.0,102.0,1
19.0,183.0,80.0,1
23.0,183.0,80.0,1
19.0,160.0,48.0,0
16.0,160.0,62.0,0
20.0,160.0,62.0,0
24.0,160.0,62.0,0
25.0,165.0,55.0,0
25.0,163.0,46.0,0
29.0,163.0,46.0,0
22.0,184.0,85.0,1
30.0,184.0,85.0,1
18.0,153.0,48.0,0
22.0,176.0,66.0,1
37.0,174.0,63.0,1
23.0,173.0,61.0,0
22.0,166.0,58.0,1
24.0,192.0,68.0,1
27.0,186.0,84.0,1
30.0,186.0,84.0,1
34.0,186.0,84.0,1
23.0,181.0,76.0,1
19.0,181.0,78.0,1
17.0,190.0,73.0,0
30.0,170.0,60.0,0
27.0,181.0,78.0,1
23.0,187.0,75.0,1
34.0,165.0,75.0,0
38.0,165.0,75.0,0
40.0,165.0,75.0,0
44.0,165.0,75.0,0
48.0,165.0,75.0,0
22.0,182.0,84.0,1
24.0,173.0,66.0,1
21.0,159.0,40.0,0
25.0,159.0,40.0,0
30.0,160.0,53.0,0
20.0,180.0,74.0,1
24.0,166.0,52.0,1
26.0,180.0,80.0,1
30.0,180.0,80.0,1
42.0,180.0,80.0,1
