age,balance,duration
58,2143,261
44,29,151
33,2,76
47,1506,92
33,1,198
35,231,139
28,447,217
42,2,380
58,121,50
43,593,55
41,270,222
29,390,137
53,6,517
58,71,71
57,162,174
51,229,353
45,13,98
57,52,38
60,60,219
33,0,54
28,723,262
56,779,164
32,23,160
25,50,342
40,0,181
44,-372,172
39,255,296
52,113,127
46,-246,255
36,265,348
57,839,225
49,378,230
60,39,208
59,0,226
51,10635,336
57,63,242
25,-7,365
53,-3,1666
36,506,577
37,0,137
44,2586,160
50,49,180
60,104,22
54,529,1492
58,96,616
36,-171,242
58,-364,355
44,0,225
55,0,160
29,0,363
54,1291,266
48,-244,253
32,0,179
42,-76,787
24,-103,145
38,243,174
38,424,104
47,306,13
40,24,185
46,179,1778
32,0,138
53,989,812
57,249,164
33,790,391
49,154,357
51,6530,91
60,100,528
59,59,273
55,1205,158
35,12223,177
57,5935,258
31,25,172
54,282,154
55,23,291
43,1937,181
53,384,176
44,582,211
55,91,349
49,0,272
55,1,208
45,206,193
47,164,212
42,690,20
59,2343,1042
46,137,246
51,173,529
56,45,1467
41,1270,1389
46,16,188
57,486,180
42,50,48
30,152,213
60,290,583
60,54,221
57,-37,173
36,101,426
55,383,287
60,81,101
39,0,203
46,229,197
44,-674,257
53,90,124
52,128,229
59,179,55
27,0,400
44,54,197
47,151,190
34,61,21
59,30,514
45,523,849
29,31,194
46,79,144
56,-34,212
36,448,286
59,81,107
44,144,247
41,351,518
33,-67,364
59,262,178
57,0,98
56,56,439
51,26,79
34,3,120
43,41,127
52,7,175
33,105,262
29,818,61
34,-16,78
31,0,143
55,2476,579
55,1185,677
32,217,345
38,1685,185
55,802,100
28,0,125
23,94,193
32,0,136
43,0,73
32,517,528
46,265,541
53,947,163
34,3,301
57,42,46
37,37,204
59,57,98
33,22,71
56,8,157
48,293,243
43,3,186
54,348,579
51,-19,163
26,0,610
40,-4,2033
39,18,85
50,139,114
41,0,114
51,1883,57
60,216,238
52,782,93
48,904,128
48,1705,107
39,47,181
47,176,303
40,1225,558
45,86,270
26,82,228
52,271,99
54,1378,240
54,184,673
50,0,233
35,0,1056
44,1357,250
53,19,252
35,434,138
60,92,130
53,1151,412
48,41,179
34,51,19
54,214,458
51,1161,717
31,37,313
35,787,683
35,59,1077
38,253,416
36,211,146
58,235,167
40,4384,315
54,4080,140
34,53,346
31,0,562
51,2127,172
33,377,217
55,73,142
42,445,67
34,243,291
33,307,309
38,155,248
50,173,98
43,400,256
61,1428,82
47,219,577
48,7,286
44,575,477
35,298,611
35,0,471
50,5699,381
41,176,42
41,517,251
39,257,408
42,56,215
38,-390,287
53,330,216
59,195,366
36,301,210
54,-41,288
40,483,168
47,28,338
53,13,410
46,965,177
39,378,127
40,219,357
28,324,175
35,-69,300
55,0,136
43,205,1419
48,278,125
58,1065,213
33,34,27
36,1033,238
53,1467,124
47,-12,18
31,388,730
57,294,746
53,1827,121
55,627,247
45,25,40
53,315,181
37,0,79
44,66,206
49,-9,389
46,349,127
43,100,702
38,0,151
43,434,117
49,3237,232
42,275,408
22,0,179
40,207,39
39,483,282
51,2248,714
49,428,50
53,0,181
34,0,142
33,140,227
50,297,119
39,279,361
59,901,73
30,2573,67
36,143,350
40,475,332
53,70,611
34,318,113
37,275,132
42,742,58
41,236,151
30,25,89
37,600,152
39,-349,611
41,183,110
40,0,463
42,0,562
40,0,962
57,1078,10
56,155,118
37,190,92
59,319,143
39,-185,189
49,47,234
38,570,75
36,19,189
50,61,621
41,-62,55
54,258,310
58,76,156
30,0,5
33,352,225
47,368,125
50,339,2
32,1331,286
40,672,164
37,58,98
54,447,742
24,423,226
54,0,120
34,19,362
56,13,357
31,3,200
24,82,204
42,28,126
57,792,65
42,408,107
51,531,267
57,211,248
36,62,215
53,257,209
50,1234,205
54,313,83
55,89,106
44,129,189
43,0,105
56,353,106
54,851,108
55,96,311
37,398,214
33,193,132
46,-358,358
36,539,453
51,0,364
40,0,136
42,490,386
51,0,173
49,403,241
48,161,224
32,2558,148
31,98,196
55,115,111
40,436,231
47,831,316
57,206,216
41,290,240
48,1,669
42,57,425
30,-457,143
58,1387,174
45,24598,313
49,30,135
42,1022,146
53,56,152
51,-2,402
32,121,213
41,842,144
43,693,124
40,-333,183
50,1533,325
34,46,39
53,18,503
45,44,95
39,-100,680
44,510,421
55,685,174
46,187,113
45,66,808
34,560,198
36,0,195
59,27,347
31,12,208
44,34,404
33,1068,396
40,211,216
46,377,98
48,263,350
42,1263,114
27,8,88
48,126,379
59,230,190
46,841,158
38,308,102
43,1,306
38,86,218
23,157,54
34,22,344
38,46,195
37,1293,652
25,122,286
48,131,189
49,143,83
38,393,184
43,98,235
33,0,290
55,224,232
38,757,133
49,245,318
40,8486,260
43,350,437
38,20,402
58,1667,85
57,345,125
32,10,501
56,830,1201
58,29,253
60,545,1030
37,8730,149
46,477,114
27,4,243
43,1205,769
32,0,135
40,263,231
38,1,76
34,283,199
47,206,152
42,17,124
48,141,424
29,16,43
50,206,154
52,7,203
50,0,326
58,0,393
46,1927,241
38,284,483
46,1660,259
32,406,227
51,230,673
39,-25,576
48,182,180
36,1169,168
34,67,90
40,77,505
43,0,245
52,55,186
33,72,623
49,163,496
32,151,118
39,113,342
40,0,225
38,9,185
43,375,196
39,1142,276
54,2102,76
38,4325,87
40,217,195
55,131,744
42,1680,765
39,0,262
